Hogar;Persona;Viaje;Etapas;ComunaOrigen;ComunaDestino;SectorOrigen;SectorDestino;ZonaOrigen;ZonaDestino;OrigenCoordX;OrigenCoordY;DestinoCoordX;DestinoCoordY;Proposito;PropositoAgregado;ActividadDestino;MediosUsados;ModoAgregado;ModoPriPub;ModoMotor;HoraIni;HoraFin;HoraMedia;TiempoViaje;TiempoMedio;Periodo;MinutosDespues;CuadrasDespues;FactorLaboralNormal;FactorSabadoNormal;FactorDomingoNormal;FactorLaboralEstival;FactorFindesemanaEstival;CodigoTiempo
173431;17343102;1734310202;1;1;1;1;1;1;1;-67,04174376;-12,576774;-67,7624625;-12,584782;7;3;;2;2;2;1;22:30;23:40;23:05;70;3;6;6;1;1;;;;;0
173441;17344101;1734410101;2;2;2;2;2;2;2;-67,7072875;-12,583856;-70,85346876;-12,604594;1;1;5;"2;4";9;2;1;13:00;14:45;13:53;105;4;5;5;1;1,12721985;;;;;0
173441;17344101;1734410102;2;3;3;3;3;3;3;-70,85346876;-12,604594;-67,7072875;-12,583856;7;1;;"4;2";9;2;1;22:00;23:30;22:45;90;3;5;10;2;1,12721985;;;;;0
173441;17344103;1734410301;2;4;1;4;1;4;1;-67,7072875;-12,583856;-70,16833126;-12,594424;1;1;5;"2;4";9;2;1;09:00;09:55;09:27;55;2;5;10;2;1,12721985;;;;;0
173441;17344103;1734410302;2;5;2;5;2;5;2;-70,16833126;-12,594424;-67,7072875;-12,583856;7;1;;"4;2";9;2;1;19:00;21:30;20:15;150;5;4;10;2;1,05276356;;;;;0
173451;17345101;1734510101;1;6;3;6;3;6;3;-66,83836876;-12,571104;-69,2283625;-12,5974;6;3;;1;1;1;1;10:00;11:00;10:30;60;2;3;0;0;;;1,48210391;;;
173451;17345101;1734510102;1;7;4;7;4;7;4;-69,2283625;-12,5974;-66,83836876;-12,571104;7;3;;1;1;1;1;15:00;15:45;15:23;45;2;5;0;0;;;1,48210391;;;
173451;17345101;1734510103;1;8;5;8;5;8;5;;;;;7;7;;8;17;5;2;17:00;17:20;17:10;20;1;5;10;2;;;1,48210391;;;
173451;17345101;1734510104;1;9;6;9;6;9;6;;;;;7;7;;8;17;5;2;18:00;18:20;18:10;20;1;4;5;1;;;1,48210391;;;
173451;17345102;1734510201;1;1;7;1;7;1;7;;;;;11;3;;8;17;5;2;13:00;13:20;13:10;20;1;5;5;1;;;1,48210391;;;
173451;17345102;1734510202;1;2;8;2;8;2;8;;;;;7;3;;8;17;5;2;14:20;14:45;14:33;25;1;5;5;1;;;1,48210391;;;
173462;17346201;1734620101;1;3;9;3;9;3;9;-66,86681876;-12,58491;-67,24938126;-12,586202;8;3;;1;1;1;1;07:50;08:20;08:05;30;1;2;0;0;1,04307354;;;;;0
173462;17346201;1734620102;1;4;1;4;1;4;1;-67,24938126;-12,586202;-66,9754625;-12,585737;1;1;4;1;1;1;1;08:30;08:40;08:35;10;1;2;0;0;1,04307354;;;;;0
173462;17346201;1734620103;1;5;2;5;2;5;2;-66,9754625;-12,585737;-67,24938126;-12,586202;8;3;;1;1;1;1;17:20;17:30;17:25;10;1;5;0;0;1,48210391;;;;;0
173462;17346201;1734620104;1;6;3;6;3;6;3;-67,24938126;-12,586202;-66,86681876;-12,58491;7;3;;1;1;1;1;17:40;18:00;17:50;20;1;4;0;0;1,14387994;;;;;0
173462;17346202;1734620201;1;7;4;7;4;7;4;-66,86681876;-12,58491;-67,24938126;-12,586202;3;2;;17;1;1;1;07:50;08:20;08:05;30;1;2;0;0;1,04307354;;;;;0
173462;17346202;1734620202;1;8;5;8;5;8;5;-67,24938126;-12,586202;-66,86681876;-12,58491;7;2;;17;1;1;1;17:30;17:40;17:35;10;1;4;0;0;1,14387994;;;;;0
173462;17346203;1734620301;1;9;6;9;6;9;6;;;;;3;2;;8;17;5;2;07:50;08:10;08:00;20;1;2;20;4;1,14387994;;;;;0
173462;17346203;1734620302;1;1;7;1;7;1;7;;;;;7;2;;8;17;5;2;16:30;16:50;16:40;20;1;5;20;4;1,48210391;;;;;0
173462;17346204;1734620401;1;2;8;2;8;2;8;;;;;3;2;;8;17;5;2;07:50;08:10;08:00;20;1;2;20;4;1,14387994;;;;;0
173462;17346204;1734620402;1;3;9;3;9;3;9;;;;;7;2;;8;17;5;2;16:30;16:50;16:40;20;1;5;20;4;1,48210391;;;;;0
